News,Source / Said By,stated_on,Via,Writter,Published on,Classification
"""Since President Obama took full control of Washington … every single day, more than 1,500 of our jobs have been lost.""",National Republican Congressional Committee,"January 24, 2012",a Web ad:,Louis Jacobson,"February 28, 2012",FALSE
"Claims Supreme Court Justice Ruth Bader Ginsburg said ""she prefers the South African Constitution over the United States Constitution.""",Rick Santorum,"February 19, 2012",a speech :,Willoughby Mariano,"February 28, 2012",FALSE
A Dallas proof-of-insurance ordinance resulted in area tow lots mostly filling with the cars of illegal residents.,Chain email,"January 31, 2012",a cha,Katie Glueck,"February 28, 2012",FALSE
"""(President Barack Obama) said unemployment was never gonna go over 8 percent if we passed the stimulus plan.""",Chris Christie,"February 26, 2012",an,Bill Wichert,"February 27, 2012",FALSE
"""President Obama once said he wants everybody in America to go to college.""",Rick Santorum,"February 25, 2012",a speech,Louis Jacobson,"February 27, 2012",FALSE
"""Amniocentesis, does, in fact, result more often than not in this country in abortion.""",Rick Santorum,"February 19, 2012",an,Becky Bowers,"February 27, 2012",FALSE
"""The president gave the (auto) companies to the UAW.""",Mitt Romney,"February 22, 2012",a primary debate,Molly Moorhead,"February 27, 2012",FALSE
"""Florida ranks 45th"" in the nation for tuition.",Denise Grimsley,"January 31, 2012",a statement:,Joshua Gillin,"February 27, 2012",TRUE
"After prenatal diagnosis, ""90 percent of Down syndrome children in America are aborted.""",Rick Santorum,"February 19, 2012",an,Louis Jacobson,"February 27, 2012",half-true
"Says Gov. Scott Walker is ""openly"" backing a move to abolish the state retirement system and convert it to a 401(k)-style plan that will reduce pensions ""by at least a third"" for current and retired public employees",Chain email,"February 23, 2012",a cha,Dave Umhoefer,"February 27, 2012",FALSE
"Says private-sector job growth in 2011 ""places New Jersey in the top third among all of the states.""",Chris Christie,"February 21, 2012",his budget speech:,Bill Wichert,"February 27, 2012",half-true
"""It’s going to be harder to vote in Virginia than it is now to buy a gun...""",Janet Howell,"February 10, 2012",a TV,Nancy Madsen,"February 27, 2012",half-true
"""Our small staff of 51 is still fewer than we had a decade ago, yet our caseload -- like that of other courts -- has grown.""",Carol Hunstein,"January 25, 2012",a speech:,Eric Stirgus,"February 27, 2012",TRUE
"Says 21,000 Wisconsin residents got jobs in 2011, but ""18,000 of them"" were in other states.",Kathleen Vinehout,"February 15, 2012",remarks:,Tom Kertscher,"February 26, 2012",FALSE
"""New Jersey has the second highest rate of institutionalization"" of people with developmental disabilities ""in America. Only Texas puts more of its citizens -- confines more of its citizens -- to institutions than New Jersey. """,Chris Christie,"February 21, 2012",his budget speech:,Erin O'Neill,"February 26, 2012",TRUE
"""There are more atheists in the country right now than Jews, Muslims, Hindus and Buddhists combined and doubled.""",David Silverman,"February 17, 2012",a story,C. Eugene Emery Jr.,"February 26, 2012",FALSE
"One estimate says there may be ""three times as much oil in the United States as there is in Saudi Arabia.""",Newt Gingrich,"February 22, 2012",a televised address:,Louis Jacobson,"February 24, 2012",FALSE
"""The majority of Americans are conservatives.""",Marco Rubio,"February 9, 2012",a speech at the CPAC c,Angie Drobnic Holan,"February 24, 2012",half-true
"Says ""in Oregon only 41 percent of adults have ever been tested"" for HIV.",Alissa  Keny-Guyer,"February 21, 2012",a floor speech.:,Ian K. Kullgren,"February 24, 2012",TRUE
"Without U.S. Senate action, Texas will have more federal judicial vacancies this year than any other state.",Progress Texas,"February 8, 2012",a web page post.:,W. Gardner Selby,"February 24, 2012",FALSE
"Florida is ""the largest dog-racing state in the country.""",Maria Sachs,"January 17, 2012",a press c,Katie Sanders,"February 24, 2012",TRUE
On mandatory ultrasounds before abortions.,Bob McDonnell,"February 22, 2012",a written statement.:,Nancy Madsen,"February 24, 2012",no-flip
"""Over 40 percent of children born in America are born out of wedlock.""",Rick Santorum,"February 22, 2012",a Republican presidential debate,Louis Jacobson,"February 24, 2012",TRUE
"Says ""sixty-two percent of small businesses over the last five years went under because they couldn't pay their health care bills.""",Bill Pascrell,"February 1, 2012",a speech,Bill Wichert,"February 24, 2012",FALSE
"""You can’t put a gun rack in a [Chevrolet] Volt.""",Newt Gingrich,"February 18, 2012",a campaign speech,Willoughby Mariano,"February 24, 2012",FALSE
"""When Marcy Kaptur brought home $42 million for new manufacturing jobs, Dennis Kucinich voted 'no'.""",Marcy Kaptur,"February 15, 2012",a campaign commercial:,Tom Feran,"February 24, 2012",half-true
"""This president ... could have gotten crippling sanctions against Iran. He did not.""",Mitt Romney,"February 22, 2012",,Becky Bowers,"February 23, 2012",FALSE
"""Today gasoline hit $6 a gallon in Florida.""",Ron Paul,"February 22, 2012",a debate,Angie Drobnic Holan,"February 23, 2012",pants-fire
"Says ""80 percent of the health care dollars are spent by 20 percent of the population.""",Alan Bates,"February 14, 2012",a floor speech.:,Ian K. Kullgren,"February 23, 2012",TRUE
"""When I was born, less than 10 percent of the federal budget was entitlement spending. It's now 60 percent of the budget.""",Rick Santorum,"February 22, 2012",a Republican presidential debate,Louis Jacobson,"February 23, 2012",half-true
"""When I was born, defense spending was 60 percent of the budget. It's now 17 percent.""",Rick Santorum,"February 22, 2012",a Republican presidential debate,Louis Jacobson,"February 23, 2012",TRUE
"Says the Tennessee Wildlife Resources Agency brought coyotes into the state ""to try to keep the deer population down.""",Frank Niceley,"February 1, 2012",a House C,Tom Humphrey,"February 23, 2012",pants-fire
"""Right now, 50 percent of Florida students leaving high school cannot read at grade level.""",Bill Proctor,"January 6, 2012",a newspaper article:,Amy Sherman,"February 23, 2012",TRUE
"""The governor is trying to take credit for recent actions taken by these companies. The problem is that for all three companies, the decision to move or stay in New Jersey happened before Chris Christie became governor.""",New Jersey Senate Democrats,"January 18, 2012",a press release:,Caryn Shinske,"February 23, 2012",TRUE
"""As Virginia’s governor, Allen cut spending and waste with bipartisan support.""",U.S. Chamber of Commerce,"February 8, 2012",a TV ad.:,Nancy Madsen,"February 23, 2012",half-true
"Other states have considered or have sunset advisory commissions; the federal government has the ability, too.",Bruce Starr,"February 16, 2012",a floor speech:,Janie Har,"February 22, 2012",TRUE
"Says in the last 20 years, the French have not ""stood by"" the United States on foreign policy.",Rick Santorum,"February 17, 2012",a campaign event:,Louis Jacobson,"February 22, 2012",pants-fire
"""For the first time since 1990, American manufacturers are creating new jobs.""",Barack Obama,"February 15, 2012",a speech at Milwaukee's Master Lock plant:,Dave Umhoefer,"February 22, 2012",FALSE
"""I have a very conservative voting record.""",Connie Mack,"February 4, 2012",an,Amy Sherman,"February 22, 2012",TRUE
"After Arizona banned smoking in ""all public places"" in 2007, ""admissions for acute myocardial infarction … stroke, asthma, [and] angina decreased following the implementation of the ban.""",Richard Morrison,"February 15, 2012",a legislative hear,Alex Kuffner,"February 22, 2012",half-true
"Says Mitt Romney supports a plan ""to slowly and gradually raise the retirement age of Social Security.""",Chris Redfern,"February 15, 2012",a news release:,Stephen Koff,"February 22, 2012",TRUE
"""[W]hen adjusted for cost of living, Georgia ranks first nationally in teacher salary and benefits.""",Jan Jones,"February 6, 2012",an essay:,Eric Stirgus,"February 22, 2012",half-true
Says he banned texting while driving in Austin.,Mike Martinez,"February 10, 2012",his campaign website.:,W. Gardner Selby,"February 21, 2012",half-true
"Says Republican U.S. Senate candidate Ted Cruz ""opposes the DREAM Act, which is supported by 85% of Latinos.""",Texas Democratic Party,"February 3, 2012",a press release:,Meghan Ashford-Grooms,"February 21, 2012",TRUE
"Mitt Romney ""supervised a company guilty of massive Medicare fraud.""",Winning Our Future,"January 27, 2012",an ad:,Eric Stirgus,"February 21, 2012",half-true
The cost of a gas tank fill-up has risen $30 since Barack Obama became president.,George Allen,"February 6, 2012",an,Sean Gorman,"February 20, 2012",TRUE
"Says the federal government could save $175,587 by eliminating a study of the ""connection between cocaine and risky sex habits of the Japanese quail.""",Mark Neumann,"January 26, 2012",a news release:,Tom Kertscher,"February 20, 2012",TRUE
"Says ""67 percent of marriages now wind up in divorce.""",Stephen Sweeney,"February 10, 2012",an,Erin O'Neill,"February 20, 2012",FALSE
"Says he was ""exonerated in every single case"" in 1990s ethics violations charges.",Newt Gingrich,"February 10, 2012",a radio,Willoughby Mariano,"February 20, 2012",pants-fire
Says Texas legislators in 2011 increased state spending on education.,Myra Crownover,"January 30, 2012",her campaign website.:,W. Gardner Selby,"February 20, 2012",pants-fire
"""'Wrong precinct' rules exacerbate our provisional ballot problems (and) HB 194 does nothing to solve the wrong-precinct problem.""",Kathleen Clyde,"February 8, 2012",an email:,Tom Feran,"February 20, 2012",TRUE
"""They're saying that 40 percent of the traffic that goes over [the Sakonnet River Bridge is from] out of state.""",John G. Edwards,"February 7, 2012",a radio,C. Eugene Emery Jr.,"February 20, 2012",TRUE
"""Shelby County donated – I’m sorry, gave – 44 schools to the city of Memphis.""",Chris Thomas,"February 6, 2012",a Shelby County Commissi,Zack McMillin,"February 19, 2012",half-true
"Says Scott Walker enacted ""the biggest cuts to education in our state’s history.""",Kathleen Falk,"February 8, 2012",a speech announc,Dave Umhoefer,"February 19, 2012",TRUE
"""The Republicans just voted last year to end Medicare.""",Steve Rothman,"February 8, 2012",a speech,Bill Wichert,"February 19, 2012",FALSE
"""If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.""",Nicholas Kettle,"January 27, 2012",a radio talk show:,Alex Kuffner,"February 19, 2012",FALSE
"Says ""there are homes for sale on and around (Oswego Lake) right now for under $150,000 that anyone is welcome to buy.""",Doug Thomas,"February 11, 2012",an Oreg,Ian K. Kullgren,"February 17, 2012",half-true
"Says critics called the original GI Bill ""welfare.""",Lawrence O'Donnell,"January 31, 2012","TV advertisement for MSNBC's ""The Last Word."":",W. Gardner Selby,"February 17, 2012",FALSE
"Says in his years as a Texas legislator, ""we passed three pay increases for teachers and provided them with health insurance.""",Paul Sadler,"January 27, 2012",a post,Sue Owen,"February 17, 2012",TRUE
"""Fewer than 10 percent of those in the House are what anyone would classify as wealthy.""",John Duncan,"December 1, 2011",Wash,Michael Collins,"February 17, 2012",FALSE
On resigning from the Texas Railroad Commission.,Elizabeth Ames Jones,"February 13, 2012",a statement announc,Meghan Ashford-Grooms,"February 17, 2012",full-flop
"""We are poised to get rid of over 1,000 more regulations in 2012.""",Rick Scott,"February 11, 2012",speech at CPAC:,Katie Sanders,"February 17, 2012",TRUE
"A 10-year state program that created 202 jobs at a cost of $247,000 per job was approved by former Gov. Jim Doyle.",Scott Walker,"February 12, 2012",a tweet:,James B. Nelson,"February 17, 2012",pants-fire
Says unemployment would be at 10 percent if people who have quit looking for work were included in federal labor force calculations.,Rob Portman,"February 3, 2012",a news release:,Sabrina Eaton,"February 17, 2012",half-true
Says Mitt Romney supports cap and trade.,Rick Santorum,"February 14, 2012",a video ad air,Molly Moorhead,"February 16, 2012",FALSE
"""Romney adviser admits Romneycare was blueprint for Obamacare.""",Rick Santorum,"February 14, 2012",a televisi,Louis Jacobson,"February 16, 2012",TRUE
"""Obamacare (hit) Americans with over $500 billion in new taxes.""",U.S. Chamber of Commerce,"February 8, 2012",an ad aga,Becky Bowers,"February 16, 2012",half-true
"Florida ""unemployment has dropped more than 2 percentage points, down from 12 percent to 9.9 percent, the second-largest drop in the nation.""",Rick Scott,"February 11, 2012",a speech at the CPAC c,Angie Drobnic Holan,"February 16, 2012",TRUE
"Says a 1915 referendum on women’s right to vote ""went down in New Jersey. And it took the Legislature to pass it.""",Loretta  Weinberg,"February 7, 2012",an,Erin O'Neill,"February 16, 2012",TRUE
"""Obamacare ... will kill jobs across America.""",U.S. Chamber of Commerce,"February 8, 2012",a televisi,Louis Jacobson,"February 15, 2012",FALSE
"Says the Congressional Budget Office said ""unemployment could top 9 percent in 2013""",U.S. Chamber of Commerce,"February 8, 2012",a video ad:,Molly Moorhead,"February 15, 2012",FALSE
You may have driven the length of a football field in the five seconds it takes to check a text.,Greg Walden,"February 9, 2012",news televisi,Janie Har,"February 15, 2012",TRUE
"Says U.S. Rep. Tammy Baldwin, a candidate for Senate, supports raising taxes ""by $858 billion.""",U.S. Chamber of Commerce,"February 9, 2012",a TV ad:,Tom Kertscher,"February 15, 2012",FALSE
"""Many of the top officials at the Port Authority earn more money than the governors of the states that have jurisdiction over them.""",John Wisniewski,"February 7, 2012",a radio,Bill Wichert,"February 15, 2012",TRUE
"Says abortion is ""the most common surgery in our country.""",Patrick Johnston,"January 30, 2012",a radio,Aaron Marshall,"February 15, 2012",pants-fire
"Newt Gingrich ""co-sponsored a bill with Nancy Pelosi that would have given $60 million a year to a U.N. program supporting China’s brutal one-child policy.""",Restore Our Future,"February 15, 2012",a televisi,Eric Stirgus,"February 15, 2012",pants-fire
"""The U.S. Census believes that by 2030 the majority of Americans will use Spanish as their first language.""",Glee,"February 7, 2012",an episode,Amy Sherman,"February 14, 2012",pants-fire
Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,Marco Rubio,"February 9, 2012",a speech at the CPAC c,Amy Sherman,"February 14, 2012",FALSE
"""We aren't the only state cutting back on public television.""",Richard Licht,"February 5, 2012",a televisi,C. Eugene Emery Jr.,"February 14, 2012",TRUE
"Says Barack Obama ""endorsed a total ban on the manufacture, sale and possession of all handguns.""",Wayne LaPierre,"February 10, 2012",a speech at the C,Becky Bowers,"February 13, 2012",FALSE
"""You can't pass a budget in the Senate of the United States without 60 votes.""",Jack Lew,"February 12, 2012",an,Louis Jacobson,"February 13, 2012",FALSE
"Maryland is ""creating jobs at 2 ½ times the rate that Virginia is.""",Martin O'Malley,"February 5, 2012",a TV,Nancy Madsen,"February 13, 2012",FALSE
"Says Milwaukee blacks have 55 percent male unemployment, 60 percent truancy, a 50 percent graduation rate, the ""worst"" reading scores and ""lead"" in infant mortality.",David A. Clarke Jr.,"January 23, 2012",remarks :,Tom Kertscher,"February 13, 2012",half-true
"""Senator Menendez said he would spend our money wisely. But our annual national deficit climbed from $250 billion a year to $1.6 trillion on his watch.""",Joseph Kyrillos,"February 1, 2012",a speech at his campaign kickoff:,Bill Wichert,"February 13, 2012",half-true
"""You're supposed to throw away your shoes"" if mercury from a broken CFL light bulb gets on them.",Bob Marshall,"February 2, 2012",a legislative hear,Sean Gorman,"February 13, 2012",FALSE
"""[A]t his current rate, President Obama will have added more debt to the United State of America by the end of his first term than each of the previous 43 presidents -- combined!""",Republican Party of Georgia,"February 1, 2012",a web post:,Eric Stirgus,"February 13, 2012",half-true
"As Dane County executive, Kathleen Falk raised property taxes by ""millions of dollars every year"" and approved the second highest increase in the state in 2010.",Rebecca Kleefisch,"February 3, 2012",an op-ed piece:,Dave Umhoefer,"February 12, 2012",TRUE
"""Here's something that people never talk about with coach Schiano: Rutgers had the best graduation rate of any Division I football program in America.""",Chris Christie,"January 31, 2012",a radio,Erin O'Neill,"February 12, 2012",FALSE
"Says a federal judge in San Antonio ""issued a ruling that … not only could the students not pray at their graduation, if they used the word ‘benediction,’ the word ‘invocation,’ the word ‘God,’ asked the audience to stand or asked for a moment of silence, he would put the superintendent in jail.""",Newt Gingrich,"January 21, 2012",remarks after w,Meghan Ashford-Grooms,"February 12, 2012",half-true
"The polls ""show over half of Americans identify themselves as being pro-life.""",Barth Bracy,"February 3, 2012",a radio,C. Eugene Emery Jr.,"February 12, 2012",FALSE
"Oregon House Republicans’ jobs plan could generate more than 50,000 jobs over five years.",Kevin Cameron,"January 21, 2012",a news release:,Janie Har,"February 11, 2012",TRUE
"""Preventive care … saves money, for families, for businesses, for government, for everybody.""",Barack Obama,"February 10, 2012",a brief,Louis Jacobson,"February 10, 2012",FALSE
Says he signed legislation leading to 12 Texas abortion clinics being closed.,Rick Perry,"January 18, 2012",a South Carol,Katie Glueck,"February 10, 2012",FALSE
"Says that as Wisconsin governor he ""never raised taxes.""",Tommy Thompson,"January 23, 2012",an,Tom Kertscher,"February 10, 2012",FALSE
"Says ""as of November, we were ranked 45th in the nation in terms of job creation, according to the U.S. Bureau of Labor Statistics.""",Barbara Buono,"January 25, 2012",a column:,Bill Wichert,"February 10, 2012",FALSE
"""The commercial property tax [in Providence] is second highest in the country behind Detroit.""",Lincoln Chafee,"February 3, 2012",a news show:,Alex Kuffner,"February 10, 2012",TRUE
"""Statistics bear out that any time a country, a state, makes more restrictive abortion laws ... fatalities go up and abortions actually increase.""",Nickie Antonio,"January 24, 2012",a news c,Joe Guillen,"February 10, 2012",FALSE
"David Dewhurst has a ""record of promoting an income tax.""",Ted Cruz,"January 12, 2012",a handout.:,W. Gardner Selby,"February 10, 2012",pants-fire
"""Twenty-five or 24 million people"" are ""out of work or stopped looking for work.""",Mitt Romney,"February 8, 2012",an Atlanta campaign stop:,Willoughby Mariano,"February 10, 2012",half-true
"""This year’s redistricting has been the most open, interactive and transparent redistricting process in Tennessee history.""",Ron Ramsey,"January 27, 2012",an email announc,Richard Locker,"February 10, 2012",FALSE
"""Nationwide tuition at public universities is up almost 300 percent ... in the last 20 years.""",Joe Biden,"February 6, 2012",a speech,Amy Sherman,"February 9, 2012",TRUE
Says Gov. Bob McDonnell's budget would cut pre-kindergarten programs.,George Barker,"January 11, 2012",a speech.:,Nancy Madsen,"February 9, 2012",FALSE
"""91 percent of Latinos support the DREAM Act, which allows undocumented youth to attend college,"" but Marco Rubio opposes it.",Presente.org,"January 27, 2012",a televisi,Angie Drobnic Holan,"February 9, 2012",TRUE
"""This year President Obama canceled the 21st annual National Day of Prayer ceremony at the White House under the ruse of ‘not wanting to offend anyone.' BUT … on September 25, 2009 from 4 AM until 7 PM, a National Day of Prayer FOR THE MUSLIM RELIGION was HELD on Capitol Hill, Beside the White House.""",Chain email,"January 30, 2012",a cha,Caryn Shinske,"February 9, 2012",FALSE
"A bill delaying the start of classes until Labor Day would permit school districts ""to shave 5 full weeks off the school year.""",Marc Schare,"February 1, 2012",an Ohio House committee hear,Tom Feran,"February 9, 2012",TRUE
"The state constitution ""clearly says there’s not to be a state income tax in Tennessee.""",Gerald McCormick,"January 19, 2012",House floor debate over amend,Tom Humphrey,"February 9, 2012",FALSE
"President Obama told people ""to skip coming here (Las Vegas) for conventions and meetings.""",Mitt Romney,"February 4, 2012",a stump speech,Molly Moorhead,"February 8, 2012",FALSE
"""President Obama is shrinking our military.""",Mitt Romney,"February 4, 2012",a speech,Louis Jacobson,"February 8, 2012",half-true
"""Three years ago, a newly elected President Obama told America that if Congress approved his plan to borrow nearly a trillion dollars, he would hold unemployment below 8 percent.""",Mitt Romney,"February 4, 2012",a victory speech,Molly Moorhead,"February 8, 2012",FALSE
"""If you take into account all the people who are struggling for work, or have just stopped looking, the real unemployment rate is over 15 percent.""",Mitt Romney,"February 4, 2012",a speech,Louis Jacobson,"February 8, 2012",TRUE
"Says Chris Christie ""inherited the highest taxes in America and the worst unemployment in the region.""",Committee for Our Children's Future,"January 31, 2012",a televisi,Erin O'Neill,"February 8, 2012",TRUE
On fundraising for super PACs,Barack Obama,"February 6, 2012",a campaign blog post:,Becky Bowers,"February 7, 2012",full-flop
"Says President Barack Obama ""has an Environmental Protection Agency proposal that would raise the price of gasoline by 25 cents a gallon.""",Newt Gingrich,"February 5, 2012",an,Molly Moorhead,"February 7, 2012",FALSE
"""Private prisons do not chase escaped inmates past the perimeter like the public prisons do, which means more escaped prisoners in our communities.""",Chain email,"January 30, 2012",email to MoveOn.org members:,Katie Sanders,"February 7, 2012",half-true
"Newt Gingrich ""was fined $300,000 for ethics violations.""",Restore Our Future,"December 14, 2011",a televisi,Angie Drobnic Holan,"February 7, 2012",TRUE
"Public education has been permanently cut ""by $1.6 billion through changes in the Standards of Quality funding formula.""",Kitty Boitnott,"January 23, 2012",a news c,Sean Gorman,"February 7, 2012",TRUE
"In the 2011 legislative session, DEQ's budget was cut 18.5 percent — a disproportionate cut compared to other natural resource agencies.",Oregon Environmental Council-Oregon Business Association,"January 18, 2012",a letter:,Janie Har,"February 7, 2012",half-true
"Says New Jersey is ""down nearly 200,000 jobs from its pre-recession peak"" and with Gov. Chris Christie ""New Jersey has trailed the rest of America when it comes to unemployment"" for 12 consecutive months.",One New Jersey,"January 26, 2012",an article posted,Erin O'Neill,"February 7, 2012",half-true
On deporting illegal immigrants.,Mitt Romney,"January 27, 2012",a column:,Eric Stirgus,"February 7, 2012",no-flip
"""Ohio has one of the highest provisional ballot rates in the country, and many of them go uncounted each election.""",Kathleen Clyde,"January 27, 2012",a news c,Tom Feran,"February 7, 2012",TRUE
"""If you sell your house after 2012 you will pay a 3.8 percent sales tax on it.""",Chain email,"February 2, 2012",a message via the Internet:,C. Eugene Emery Jr.,"February 7, 2012",pants-fire
"""No candidate has run more negative ads in American history than Barack Obama did in 2008, especially in the general.’’",Marco Rubio,"January 31, 2012",a TV,Amy Sherman,"February 6, 2012",TRUE
"""Most women, including 98 percent of Catholic women, have used contraception.""",Cecilia Muñoz,"February 1, 2012",a post to the White House Blog:,Becky Bowers,"February 6, 2012",TRUE
"""Since ObamaCare and the stimulus passed, the unemployment rate in the U.S. has increased.""",Pete Hoekstra,"February 5, 2012",a website l,Louis Jacobson,"February 6, 2012",FALSE
"""Illegal counterfeiting and piracy costs the U.S. economy $100 billion... every year.""",Lamar Smith,"January 20, 2012",an op,W. Gardner Selby,"February 6, 2012",FALSE
The Georgia Secretary of State's Office and the Georgia State Elections Board investigate and penalize hundreds of people guilty of election fraud.,Brian Kemp,"June 24, 2011",,Eric Stirgus,"February 6, 2012",TRUE
"Says Gov. Scott Walker ""made more than $70 million in cuts to job training programs through (Wisconsin’s) technical colleges.""",Fred Clark,"February 1, 2012",a Democratic Party radio address:,Dave Umhoefer,"February 5, 2012",half-true
"Says Gov. Chris Christie’s proposal to reduce state income taxes ""would be the second tax cut for the rich by the governor in two years.""",Paul Sarlo,"January 30, 2012",open,Bill Wichert,"February 5, 2012",half-true
"Says ""we brought crime rate down by 30 percent"" when he was mayor of Dallas.",Tom Leppert,"January 12, 2012",a U.S. Senate debate hosted by Empower Texans and the Texas Public Policy Foundati,Sue Owen,"February 3, 2012",TRUE
"In just a few decades, Social Security, Medicare and Medicaid, other mandatory spending programs, and paying interest due on the debt will eclipse our entire budget.",Kurt Schrader,"February 2, 2012",c,Charles Pope,"February 3, 2012",TRUE
"Says Mitt Romney’s campaign ""has already spent more on negative ads than John McCain did during his entire presidential run.""",Debbie Wasserman Schultz,"January 31, 2012",a press release:,Amy Sherman,"February 3, 2012",FALSE
"Says she ""wiped out"" the state Agriculture Department’s inspections of eggs at retail sites like grocery stores.",Susan Combs,"December 6, 2011",an,Meghan Ashford-Grooms,"February 3, 2012",FALSE
"""The national debt is equal to $48,700 for every American or $128,300 for every U.S. household. It is now equivalent to the size of our entire economy.""",Randy Forbes,"January 24, 2012",a blog post.:,Sean Gorman,"February 3, 2012",TRUE
"""United States of America is twenty-sixth in school performance in the world.""",Jim Whelan,"January 9, 2012",a speech,Bill Wichert,"February 3, 2012",TRUE
"""We've seen more anti-women's choice bills introduced in the first half of this session than we've seen in the last three General Assemblies.""",Armond Budish,"January 31, 2012",a news c,Tom Feran,"February 3, 2012",TRUE
"""We got [the Quonset Business Park] for free and we’re getting zero dollars out of it into the state coffers … other than the fact that it produces the jobs.""",Joseph Trillo,"January 20, 2012",a debate:,Alex Kuffner,"February 3, 2012",half-true
"""One out of every three automobile fatalities can be attributed to alcohol.""",Nathan Deal,"January 31, 2012",a televisi,Willoughby Mariano,"February 3, 2012",TRUE
"AIDS was transmitted to humans because ""one guy"" had sex with ""a monkey"" and then started ""having sex with men.""",Stacey Campfield,"January 26, 2012",an,Zack McMillin,"February 3, 2012",pants-fire
"Congressman Scott DesJarlais ""is spending his one year anniversary on vacation -- only working 6 days in all of January.""",Democratic Congressional Campaign Committee,"January 5, 2012",a press release.:,Michael Collins,"February 2, 2012",pants-fire
"Says U.S. Senate Democrats ""have gone without any budget at all"" for more than 1,000 days.",Paul Ryan,"January 23, 2012",a news release:,Tom Kertscher,"February 2, 2012",TRUE
"Says Pennsylvania charges a top income tax rate of 3 percent and Delaware ""has no state income tax at all.""",Joe Pennacchio,"January 30, 2012",a news release:,Bill Wichert,"February 2, 2012",half-true
"""Gov. Romney cut off kosher meals for Jewish senior citizens who were on Medicaid to save $5 a day.""",Newt Gingrich,"January 30, 2012",a speech,Becky Bowers,"February 1, 2012",FALSE
"""Today, for the first time in fifteen years, Master Lock’s unionized plant in Milwaukee is running at full capacity.""",Barack Obama,"January 24, 2012",the State of the Uni,James B. Nelson,"February 1, 2012",TRUE
"Since President Barack Obama took office, ""2 million more Americans are out of work.""",Phil Gingrey,"January 25, 2012",a press statement:,Willoughby Mariano,"February 1, 2012",half-true
"""A cashier earning $20,000 per year pays the same (Virginia) income tax rate as a hedge fund manager earning $20 million per year.""",David Englin,"January 20, 2012",a news release.:,Sean Gorman,"February 1, 2012",FALSE
"""Unemployment has fallen from 10 percent during the president’s first year in office to 8.5 percent today.""",Hank Johnson,"January 25, 2012",a press statement:,Willoughby Mariano,"February 1, 2012",half-true
"In 1992, Mitt Romney ""gave money to Democrats for Congress.""",Newt Gingrich,"January 29, 2012",an,Amy Sherman,"January 31, 2012",TRUE
"""The Obama administration ... would impose on every Catholic institution, every Jewish institution, every Protestant institution the Obamacare standard of what you have to buy as insurance.""",Newt Gingrich,"January 30, 2012",a town hall,Becky Bowers,"January 31, 2012",FALSE
Says the U.S. federal income tax rate was 0 percent until 1913.,Ron Paul,"January 16, 2012",a Republican presidential debate,Meghan Ashford-Grooms,"January 31, 2012",half-true
"""Federal, state and local governments have subsidized the production of the Volt to the tune of estimates between $50,000 and $250,000 per vehicle sold.""",Jim Jordan,"January 25, 2012",a c,Sabrina Eaton,"January 31, 2012",half-true
"Savannah is home to ""the fastest-growing port in the nation.""",Casey Cagle,"January 19, 2012",a speech:,Eric Stirgus,"January 31, 2012",TRUE
"""Sheldon Whitehouse's failure of leadership, the adding of almost $8 trillion in debt in his first full term, is shameful...""",Barry Hinckley,"January 17, 2012",a YouTube video:,C. Eugene Emery Jr.,"January 31, 2012",half-true
"In July 1996, Mitt Romney helped locate the missing teenage daughter of a partner at Bain Capital.",Chain email,"January 30, 2012",a cha,Louis Jacobson,"January 30, 2012",TRUE
"Students today ""take more years to get through"" college.",Newt Gingrich,"January 28, 2012",comments at a campaign event:,Louis Jacobson,"January 30, 2012",FALSE
"A proposed mine in Wisconsin is ""about two-thirds the size of Lake Winnebago.""",Penny Bernard Schaber,"January 27, 2012",a legislative hear,Tom Kertscher,"January 30, 2012",FALSE
"Says with ""Gov. Chris Christie and bipartisan reformers"" New Jersey had ""the most job growth in 11 years.""",Committee for Our Children's Future,"January 25, 2012",a video ad posted,Erin O'Neill,"January 30, 2012",half-true
Siemens has been unable to fill approximately 200 skilled trade positions in metro Atlanta.,Nathan Deal,"January 10, 2012",his State of the State address:,Willoughby Mariano,"January 30, 2012",FALSE
"""We wiped out a $3.6 billion deficit without raising taxes.""",Scott Walker,"January 3, 2012",a televisi,Dave Umhoefer,"January 29, 2012",half-true
"Says the New York Giants ""train in New Jersey, they play in New Jersey and most of their players live in New Jersey.""",Chris Christie,"January 22, 2012",an,Erin O'Neill,"January 29, 2012",TRUE
"""Chesterfield has eliminated more positions from its general government operations than the Commonwealth has from the entire state government since (fiscal) 2009.""",James Stegmaier,"December 14, 2011",a speech.:,Sean Gorman,"January 29, 2012",TRUE
"""Studies show that if we opened one reserve in Alaska now, in five years, gas prices could be at $2 a gallon.""",Stephen Fincher,"December 30, 2011",an,Michael Collins,"January 29, 2012",FALSE
"""Congressman Phil Roe hands out $1.3M government check"" from a federal program that ""he voted against.""",Tennessee Democratic Party,"January 7, 2012",a press release:,Michael Collins,"January 29, 2012",TRUE
"""Martin Luther King was a Republican.""",Travis Rowley,"January 21, 2012",an op,C. Eugene Emery Jr.,"January 29, 2012",FALSE
